Year;Nationality;الجنسية;Country;الدولة;Gender;النوع;Number of Students
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;75
2020/2021;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;20
2020/2021;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;26
2020/2021;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;198
2020/2021;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;207
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Male;ذكر;187
2019/2020;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;20
2019/2020;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;152
2018/2019;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;3830
2018/2019;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;64
2018/2019;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;180
2018/2019;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;36
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Male;ذكر;14
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;33
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;115
2018/2019;Other Countries;بلدان أخرى;Pakistan;باكستان;Female;أنثى;155
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Male;ذكر;279
2017/2018;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;124
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Male;ذكر;200
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;55
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;26
2016/2017;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;12
2016/2017;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;25
2015/2016;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;6
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;65
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;79
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;54
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;34
